,zillow_id,furniture,texture
698,72179174,chair1,leather
699,72179174,chair2,wood
700,72179174,chair3,wood
701,72179174,chair4,leather
702,72179174,chair5,wood
703,72179174,chair6,wood
704,72179174,sofa2,wood
705,72179174,sofa3,wood
706,72179165,chair1,leather
707,72179165,chair2,leather
708,72179165,chair3,leather
709,72179165,sofa1,wood
710,72179064,sofa1,wood
711,72178895,sofa1,wood
712,72178862,chair1,wood
713,72178862,chair10,wood
714,72178862,chair2,wood
715,72178862,chair4,wood
716,72178862,chair5,wood
717,72178862,chair6,wood
718,72178862,chair7,wood
719,72178862,chair8,wood
720,72178862,chair9,wood
721,72178862,sofa1,wood
722,72178862,sofa2,wood
723,72178862,sofa3,wood
724,72178818,chair3,wood
725,72178818,chair4,stone
726,72178818,chair5,wood
727,72178818,chair6,leather
728,72178818,chair8,leather
729,72178818,chair9,wood
730,72178818,sofa1,wood
731,72178818,sofa10,leather
732,72178818,sofa2,leather
733,72178818,sofa7,wood
734,72178777,chair1,wood
735,72178777,chair2,wood
736,72178777,chair3,wood
737,72178777,chair4,wood
738,72178732,chair1,wood
739,72178709,chair1,leather
740,72178709,chair2,wood
741,72178709,sofa1,leather
742,72178636,chair1,wood
743,72178636,chair2,wood
744,72178636,chair3,wood
745,72178627,chair1,leather
746,72178627,chair2,leather
747,72178627,chair3,wood
748,72178627,chair4,wood
749,72178627,chair5,wood
750,72178627,sofa1,wood
751,72178522,chair3,leather
752,72178522,chair4,stone
753,72178522,sofa1,wood
754,72178522,sofa2,stone
755,72178520,chair2,wood
756,72178520,chair3,wood
757,72178520,chair4,wood
758,72178520,chair5,wood
759,72178520,chair6,wood
760,72178520,chair7,wood
761,72178520,chair8,wood
762,72178520,sofa1,wood
763,72178520,sofa2,wood
764,72178520,sofa4,wood
765,72178422,chair1,wood
766,72178422,chair2,wood
767,72178422,chair3,wood
768,72178404,chair1,leather
769,72178404,chair2,leather
770,72178404,chair3,leather
771,72178404,chair4,wood
772,72178404,chair5,leather
773,72178404,chair6,wood
774,72178404,chair7,wood
775,72178367,bed1,leather
776,72178367,sofa1,leather
777,72178367,sofa2,wood
778,72178367,sofa3,wood
779,72178367,sofa4,wood
780,72178332,chair1,leather
781,72178332,chair2,leather
782,72178332,chair3,leather
783,72178332,chair4,wood
784,72178332,sofa1,leather
785,72178328,chair1,wood
786,72178328,chair2,wood
787,72178328,chair3,wood
788,72178328,chair4,wood
789,72178328,chair5,leather
790,72178328,chair6,wood
791,72178287,chair1,wood
792,72178287,chair10,wood
793,72178287,chair2,leather
794,72178287,chair3,wood
795,72178287,chair4,leather
796,72178287,chair5,leather
797,72178287,chair6,leather
798,72178287,chair7,wood
799,72178287,chair8,leather
800,72178287,chair9,leather
801,72178266,chair1,wood
802,72178266,chair2,wood
803,72178266,chair3,wood
804,72178266,chair5,wood
805,72178266,chair6,wood
806,72178266,chair7,leather
807,72178266,sofa1,wood
808,72178266,sofa2,wood
809,72178266,sofa4,wood
810,72178249,chair1,leather
811,72178249,chair10,leather
812,72178249,chair2,wood
813,72178249,chair3,leather
814,72178249,chair4,leather
815,72178249,chair5,leather
816,72178249,chair6,leather
817,72178249,chair7,leather
818,72178249,chair8,leather
819,72178249,chair9,leather
820,72178243,chair1,wood
821,72178157,chair1,leather
822,72178157,chair2,wood
