72193259,400000,11,2,Westford,1886,2,1,1276,54,20647,Ranch,1,2,ForcedAirGas,WestfordPublic,WestfordPublic,WestfordAcademy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193259,400000,11,2,Westford,1886,2,1,1276,54,20647,Ranch,1,2,ForcedAirGas,WestfordPublic,WestfordPublic,WestfordAcademy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193187,269900,18,3,Dartmouth,2747,3,1,1008,53,8712,Ranch,1,0,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193051,610000,16,8,Wilmington,1887,3,25,1976,8,12000,Colonial,,2,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193043,225000,17,3,Ipswich,1938,3,2,1408,57,25385,RaisedRanch,1,2,CentralHeatHotWaterBaseboardOil,Doyon,Ipswich,pswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193041,230000,3,3,Fitchburg,1420,3,25,1858,46,17440,Ranch,1,2,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193023,260000,1,1,Rutland,1543,3,1,1196,27,65340,Ranch,1,2,HotWaterBaseboardOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192944,360600,16,2,Boston,2130,2,1,1214,117,2288,OtherSeeRemarks,,0,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192889,365000,14,3,Wareham,2571,3,2,1504,77,8400,Colonial,1,0,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192856,249000,14,4,Franklin,2038,3,1,1044,57,15000,Ranch,1,0,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192694,255000,3,3,Beverly,1915,1,1,1194,86,7750,Ranch,1,0,HotWaterRadiatorsGas,,,BeverlyHigh,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72192594,412500,15,2,Shirley,1464,4,35,2142,16,54450,Colonial,1,2,ForcedAirOil,LuraAWhite,ASRSD,ASRSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192458,327500,10,4,Somerset,2726,3,25,1862,6,6534,Colonial,1,1,ForcedAirGas,ChaceStreet,SomersetMiddle,SomersetBerkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192407,225000,9,9,Springfield,1119,3,2,2214,78,17868,Cape,,1,ForcedAirOil,,,,8,3,1,4,2,2,0,0,0,0,0,0,0,0,0,1
72192385,525000,21,5,Marblehead,1945,3,15,1749,84,5880,Colonial,1,2,Gas,Glover,VillageVeteran,MHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192325,163500,22,11,Lynn,1902,3,1,1218,117,3200,Colonial,1,1,SteamOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192174,28500,91,2,Winchendon,1475,3,1,1736,127,37,Farmhouse,,1,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72192005,639900,1,1,Lakeville,2347,3,25,2741,2,70000,Ranch,,2,ForcedAirPropane,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72191996,205000,19,5,Rockland,2370,3,1,1260,57,12502,Ranch,1,0,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72191871,365000,105,0,Braintree,2184,3,1,1823,65,7260,Cape,1,0,HotWaterBaseboardOil,,,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
